raymond_cp,cipla_cp,fortis_cp,jet_cp,titan_cp
772.8,569.0,205.25,527.5,483.65
785.0,565.6,207.9,534.15,488.3
783.65,562.35,205.9,528.9,481.75
746.95,560.1,196.85,522.7,471.65
723.1,564.95,203.55,520.4,471.15
715.95,563.1,194.8,475.65,481.4
699.55,533.2,196.55,472.85,478.35
662.25,519.65,194.35,464.8,469.2
678.3,504.0,202.55,468.95,463.9
721.15,488.9,202.75,483.4,473.45
695.5,505.35,196.1,474.6,470.65
695.45,510.5,198.15,459.65,469.8
694.2,516.35,195.15,477.9,474.9
693.9,515.55,198.35,484.5,470.7
702.65,530.05,192.95,484.85,471.75
751.25,534.8,194.9,497.15,551.85
728.45,534.65,191.05,497.2,527.15
729.05,540.2,194.05,509.1,536.2
733.5,550.15,192.95,519.8,529.1
732.1,551.1,193.55,527.95,525.45
717.7,553.35,191.45,534.8,515.8
730.85,551.55,189.45,530.3,520.55
721.6,539.9,187.0,532.85,521.9
729.9,549.45,197.65,534.3,517.65
739.95,536.75,190.5,540.65,516.4
731.7,539.75,190.1,545.0,515.2
735.35,547.85,198.4,549.35,526.7
743.4,541.0,194.9,565.65,523.1
731.0,540.15,197.9,568.45,519.9
712.3,541.15,172.5,558.55,513.3
699.8,534.65,165.25,552.3,516.0
714.3,536.85,167.0,569.35,507.3
721.8,543.75,169.0,569.4,509.6
724.7,555.6,164.4,564.05,524.45
768.05,551.85,162.0,582.9,532.4
765.25,545.05,163.25,577.5,535.55
815.65,545.9,155.95,582.05,531.8
819.65,542.85,161.15,591.95,533.95
808.2,547.15,162.35,590.7,532.5
815.55,549.2,158.85,605.95,536.75
788.85,538.45,162.55,605.1,528.7
802.65,539.95,161.0,609.7,530.8
806.8,543.65,162.9,614.75,534.15
792.25,548.05,164.1,617.05,533.65
800.2,556.5,162.95,611.4,533.75
794.3,559.75,148.4,605.35,527.75
795.5,568.25,150.4,609.7,533.05
807.55,571.9,150.7,591.9,529.8
800.8,566.2,157.0,597.15,543.2
808.85,569.75,163.55,598.55,538.15
806.9,564.4,167.05,587.4,536.15
803.8,575.45,168.65,584.9,537.9
786.95,568.7,166.25,573.55,527.45
786.25,566.1,163.65,596.25,533.15
791.75,560.1,159.1,596.7,544.25
789.3,562.45,155.55,595.5,539.35
776.7,568.55,155.45,591.35,552.8
763.6,557.15,153.3,588.15,558.05
769.15,568.7,163.3,609.4,611.2
776.95,566.5,166.35,633.9,614.85
775.8,578.6,164.15,630.2,609.4
781.15,561.85,159.8,613.7,619.15
723.3,548.2,158.6,560.3,610.35
718.15,541.4,151.85,557.3,607.0
731.45,570.05,151.95,564.7,630.4
738.55,590.45,150.0,587.05,627.7
746.0,573.2,151.05,591.2,621.5
774.35,565.3,151.45,580.25,623.5
744.9,561.75,145.15,559.85,615.5
731.35,559.25,143.7,556.75,615.1
737.0,559.15,141.55,574.4,607.5
733.75,574.05,152.6,574.25,606.8
765.15,574.1,151.75,574.6,612.25
756.2,568.9,148.9,545.7,600.45
763.05,566.35,143.9,560.5,611.6
777.15,571.9,154.4,578.5,617.1
811.6,568.4,146.05,578.35,613.5
859.2,561.7,149.1,569.8,612.25
854.7,559.6,147.85,576.65,638.85
857.4,558.3,152.2,580.6,640.8
893.05,554.2,152.2,578.8,637.0
884.9,552.0,153.4,569.85,633.4
901.3,553.85,154.2,572.85,632.95
907.65,560.5,154.0,582.0,637.9
885.9,554.4,153.25,574.95,630.3
894.4,565.95,150.85,576.8,633.55
880.3,561.4,151.7,566.0,632.15
885.75,570.7,149.95,558.55,646.1
882.75,573.4,150.85,555.8,641.55
870.05,569.7,153.55,547.95,630.8
861.85,591.9,153.55,537.95,618.55
825.35,585.35,152.05,509.15,602.3
798.05,577.2,150.05,497.45,602.15
814.35,579.0,146.75,481.55,592.25
786.2,570.1,147.35,469.6,590.0
810.7,582.65,144.9,478.8,575.65
812.15,586.1,145.5,481.85,584.55
805.8,578.9,144.0,469.3,600.05
814.15,581.05,145.6,473.9,600.9
836.7,585.35,146.15,489.1,595.75
849.05,585.4,150.0,488.95,596.6
851.35,585.55,156.85,492.45,616.15
868.7,590.15,152.3,492.15,615.85
840.75,586.15,153.15,480.6,610.6
844.45,589.65,149.55,486.25,623.45
848.25,592.85,149.95,482.3,625.15
855.6,606.75,151.8,478.35,627.45
861.15,632.1,150.85,481.8,625.75
885.5,611.0,149.55,482.0,612.9
892.55,607.8,147.45,476.4,606.95
907.75,592.9,146.0,468.35,604.05
902.15,595.05,144.85,512.3,606.05
887.05,592.65,146.15,519.7,590.75
873.65,611.5,145.6,529.2,584.65
900.2,625.05,145.8,524.3,590.05
899.25,626.05,146.0,569.15,618.3
892.3,627.6,144.0,583.65,635.25
963.8,626.75,143.9,590.5,637.45
953.3,636.0,143.2,589.75,655.15
973.55,640.1,143.4,622.7,659.75
964.8,654.8,142.7,623.25,783.7
969.15,607.55,143.2,600.45,753.8
957.7,622.6,140.2,623.7,743.3
960.45,614.55,138.0,665.0,777.9
947.65,609.3,138.9,684.5,782.05
928.15,602.1,134.45,708.0,765.1
924.4,602.45,132.2,694.0,774.3
918.0,593.65,130.45,690.9,771.05
